Date,2015-05-01,
INDEX VALUE,1000.0000,
EFFECTIVE DATE,TICKER,NAME,ISIN,INDEX SHARES,PRICE,CURRENCY FACTOR,
2015-05-01,WMC US Equity,WMC US Equity,US95790D1054,2,14.91,1,
2015-05-01,NRP US Equity,NRP US Equity,US63900P1030,2,5.26,1,
2015-05-01,CYS US Equity,CYS US Equity,US12673A1088,2,9.07,1,
2015-05-01,AI US Equity,AI US Equity,US0413562051,2,22.04,1,
2015-05-01,NYMT US Equity,NYMT US Equity,US6496045013,2,7.93,1,
2015-05-01,MITT US Equity,MITT US Equity,US0012281053,2,19.5,1,
2015-05-01,MEMP US Equity,MEMP US Equity,US5860481002,2,17.65,1,
2015-05-01,CMO US Equity,CMO US Equity,US14067E5069,2,11.85,1,
2015-05-01,CIM US Equity,CIM US Equity,US16934Q2084,2,15.36,1,
2015-05-01,WIN US Equity,WIN US Equity,US97382A2006,2,11.91,1,
2015-05-01,CCLP US Equity,CCLP US Equity,US12637A1034,2,21.32,1,
2015-05-01,CMLP US Equity,CMLP US Equity,US2263781070,2,16.01,1,
2015-05-01,AMTG US Equity,AMTG US Equity,US03763V1026,2,16.09,1,
2015-05-01,MMLP US Equity,MMLP US Equity,US5733311055,2,36.85,1,
2015-05-01,ARI US Equity,ARI US Equity,US03762U1051,2,17.27,1,
2015-05-01,STON US Equity,STON US Equity,US86183Q1004,2,30.75,1,
2015-05-01,PDLI US Equity,PDLI US Equity,US69329Y1047,2,6.78,1,
2015-05-01,FGP US Equity,FGP US Equity,US3152931008,2,24.37,1,
2015-05-01,STWD US Equity,STWD US Equity,US85571B1052,2,24.3,1,
2015-05-01,ETP US Equity,ETP US Equity,US29273R1095,2,54.4,1,
2015-05-01,NYCB US Equity,NYCB US Equity,US6494451031,2,16.92,1,
2015-05-01,CLNY US Equity,CLNY US Equity,US19624R1068,2,26.37,1,
2015-05-01,EEP US Equity,EEP US Equity,US29250R1068,2,37.71,1,
2015-05-01,MAT US Equity,MAT US Equity,US5770811025,2,28.62,1,
2015-05-01,CTL US Equity,CTL US Equity,US1567001060,2,36.78,1,
2015-05-01,SIX US Equity,SIX US Equity,US83001A1025,2,48.33,1,
2015-05-01,T US Equity,T US Equity,US00206R1023,2,34.86,1,
2015-05-01,MIC US Equity,MIC US Equity,US55608B1052,2,82.6,1,
2015-05-01,KRO US Equity,KRO US Equity,US50105F1057,2,13.55,1,
2015-05-01,TCP US Equity,TCP US Equity,US87233Q1085,2,69.13,1,
2015-05-01,FTR US Equity,FTR US Equity,US35906A1088,2,7.02,1,
2015-05-01,PM US Equity,PM US Equity,US7181721090,2,82.88,1,
2015-05-01,BGS US Equity,BGS US Equity,US05508R1068,2,31.84,1,
2015-05-01,SO US Equity,SO US Equity,US8425871071,2,44.66,1,
2015-05-01,TE US Equity,TE US Equity,US8723751009,2,19.54,1,
2015-05-01,UVV US Equity,UVV US Equity,US9134561094,2,48.12,1,
2015-05-01,VZ US Equity,VZ US Equity,US92343V1044,2,50.55,1,
2015-05-01,PPL US Equity,PPL US Equity,US69351T1060,2,34.37,1,
2015-05-01,ETR US Equity,ETR US Equity,US29364G1031,2,79.02,1,
2015-05-01,EDE US Equity,EDE US Equity,US2916411083,2,24.49,1,
2015-05-01,CVA US Equity,CVA US Equity,US22282E1029,2,20.86,1,
2015-05-01,POM US Equity,POM US Equity,US7132911022,2,26.14,1,
2015-05-01,ED US Equity,ED US Equity,US2091151041,2,62.27,1,
2015-05-01,DUK US Equity,DUK US Equity,US26441C2044,2,78.97,1,
2015-05-01,NWN US Equity,NWN US Equity,US6676551046,2,48.34,1,
2015-05-01,AEE US Equity,AEE US Equity,US0236081024,2,42.3,1,
2015-05-01,AVA US Equity,AVA US Equity,US05379B1070,2,33.83,1,
2015-05-01,RAI US Equity,RAI US Equity,US7617131062,2,76.24,1,
2015-05-01,LO US Equity,LO US Equity,US5441471019,2,70.73,1,
2015-05-01,MO US Equity,MO US Equity,US02209S1033,2,51.71,1,
2015-05-01,DGX US Equity,DGX US Equity,US74834L1008,2,73.79,1,
2015-05-01,MYGN US Equity,MYGN US Equity,US62855J1043,2,33.56,1,
2015-05-01,DAL US Equity,DAL US Equity,US2473617023,2,46.2,1,
2015-05-01,ALK US Equity,ALK US Equity,US0116591092,2,66.47,1,
2015-05-01,TRN US Equity,TRN US Equity,US8965221091,2,28.21,1,
2015-05-01,USTR US Equity,USTR US Equity,US9130041075,2,42.06,1,
2015-05-01,TAL US Equity,TAL US Equity,US8740831081,2,42.36,1,
2015-05-01,HY US Equity,HY US Equity,US4491721050,2,74.66,1,
2015-05-01,VRSN US Equity,VRSN US Equity,US92343E1029,2,64.71,1,
2015-05-01,DST US Equity,DST US Equity,US2333261079,2,116.22,1,
2015-05-01,NSR US Equity,NSR US Equity,US64126X2018,2,28.62,1,
2015-05-01,BHE US Equity,BHE US Equity,US08160H1014,2,24.49,1,
2015-05-01,STMP US Equity,STMP US Equity,US8528572006,2,65.21,1,
2015-05-01,IOSP US Equity,IOSP US Equity,US45768S1050,2,45.01,1,
2015-05-01,HE US Equity,HE US Equity,US4198701009,2,32.51,1,
2015-05-01,HLF US Equity,HLF US Equity,KYG4412G1010,2,42.75,1,
2015-05-01,LYB US Equity,LYB US Equity,NL0009434992,2,104.14,1,
2015-05-01,AFL US Equity,AFL US Equity,US0010551028,2,64.42,1,
2015-05-01,ATW US Equity,ATW US Equity,US0500951084,2,29.16,1,
2015-05-01,BWC US Equity,BWC US Equity,US05615F1021,2,32.7,1,
2015-05-01,BC US Equity,BC US Equity,US1170431092,2,55.1,1,
2015-05-01,CSWC US Equity,CSWC US Equity,US1405011073,2,47.6,1,
2015-05-01,CE US Equity,CE US Equity,US1508701034,2,65.85,1,
2015-05-01,CLW US Equity,CLW US Equity,US18538R1032,2,64.3,1,
2015-05-01,COP US Equity,COP US Equity,US20825C1045,2,67.74,1,
2015-05-01,DE US Equity,DE US Equity,US2441991054,2,88.89,1,
2015-05-01,FGL US Equity,FGL US Equity,US3157851052,2,22.91,1,
2015-05-01,GNC US Equity,GNC US Equity,US36191G1076,2,47.41,1,
2015-05-01,GEOS US Equity,GEOS US Equity,US37364X1090,2,21.75,1,
2015-05-01,GS US Equity,GS US Equity,US38141G1040,2,197.49,1,
2015-05-01,HLS US Equity,HLS US Equity,US4219243098,2,47.93,1,
2015-05-01,HES US Equity,HES US Equity,US42809H1077,2,76.75,1,
2015-05-01,NCR US Equity,NCR US Equity,US62886E1082,2,28.28,1,
2015-05-01,NWLI US Equity,NWLI US Equity,US6385221022,2,244,1,
2015-05-01,NUS US Equity,NUS US Equity,US67018T1051,2,58.7,1,
2015-05-01,OA US Equity,OA US Equity,US68557N1037,2,73.87,1,
2015-05-01,OUTR US Equity,OUTR US Equity,US6900701078,2,69.61,1,
2015-05-01,PNNT US Equity,PNNT US Equity,US7080621045,2,9.38,1,
2015-05-01,SLM US Equity,SLM US Equity,US78442P1066,2,10.33,1,
2015-05-01,SWHC US Equity,SWHC US Equity,US8317561012,2,14.96,1,
2015-05-01,RGR US Equity,RGR US Equity,US8641591081,2,55.73,1,
2015-05-01,TRV US Equity,TRV US Equity,US89417E1091,2,103.68,1,
2015-05-01,TCAP US Equity,TCAP US Equity,US8958481090,2,24.24,1,
2015-05-01,USNA US Equity,USNA US Equity,US90328M1071,2,124.61,1,
2015-05-01,VC US Equity,VC US Equity,US92839U2069,2,102.92,1,
2015-05-01,WRLD US Equity,WRLD US Equity,US9814191048,2,76.68,1,
2015-05-01,TCS IN Equity,TCS IN Equity,INE467B01029,2,2495,63.145000,
2015-05-01,ITC IN Equity,ITC IN Equity,INE154A01025,2,337.55,63.145000,
2015-05-01,HDFCB IN Equity,HDFCB IN Equity,INE040A01026,2,1004.55,63.145000,
2015-05-01,ICICIBC IN Equity,ICICIBC IN Equity,INE090A01021,2,326.85,63.145000,
2015-05-01,HDFC IN Equity,HDFC IN Equity,INE001A01036,2,1228.25,63.145000,
2015-05-01,WPRO IN Equity,WPRO IN Equity,INE075A01022,2,532.25,63.145000,
2015-05-01,HUVR IN Equity,HUVR IN Equity,INE030A01027,2,860.6,63.145000,
2015-05-01,HCLT IN Equity,HCLT IN Equity,INE860A01027,2,870.5,63.145000,
2015-05-01,AXSB IN Equity,AXSB IN Equity,INE238A01034,2,535,63.145000,
2015-05-01,MM IN Equity,MM IN Equity,INE101A01026,2,1182.2,63.145000,
2015-05-01,CAIR IN Equity,CAIR IN Equity,INE910H01017,2,213.65,63.145000,
2015-05-01,BJAUT IN Equity,BJAUT IN Equity,INE917I01010,2,1990.15,63.145000,
2015-05-01,APNT IN Equity,APNT IN Equity,INE021A01026,2,765.45,63.145000,
2015-05-01,ADSEZ IN Equity,ADSEZ IN Equity,INE742F01042,2,306.1,63.145000,
2015-05-01,NEST IN Equity,NEST IN Equity,INE239A01016,2,6836.85,63.145000,
2015-05-01,LPC IN Equity,LPC IN Equity,INE326A01037,2,1721.75,63.145000,
2015-05-01,POWF IN Equity,POWF IN Equity,INE134E01011,2,270.8,63.145000,
2015-05-01,DABUR IN Equity,DABUR IN Equity,INE016A01026,2,259.1,63.145000,
2015-05-01,RECL IN Equity,RECL IN Equity,INE020B01018,2,317.15,63.145000,
2015-05-01,TTAN IN Equity,TTAN IN Equity,INE280A01028,2,386.15,63.145000,
2015-05-01,IIB IN Equity,IIB IN Equity,INE095A01012,2,827.7,63.145000,
2015-05-01,GCPL IN Equity,GCPL IN Equity,INE102D01028,2,1098.15,63.145000,
2015-05-01,CDH IN Equity,CDH IN Equity,INE010B01019,2,1661.7,63.145000,
2015-05-01,EIM IN Equity,EIM IN Equity,INE066A01013,2,15175.05,63.145000,
2015-05-01,YES IN Equity,YES IN Equity,INE528G01019,2,826.45,63.145000,
2015-05-01,SHTF IN Equity,SHTF IN Equity,INE721A01013,2,991.25,63.145000,
2015-05-01,SUNTV IN Equity,SUNTV IN Equity,INE424H01027,2,349.7,63.145000,
2015-05-01,PIDI IN Equity,PIDI IN Equity,INE318A01026,2,560.25,63.145000,
2015-05-01,LICHF IN Equity,LICHF IN Equity,INE115A01026,2,438.25,63.145000,
2015-05-01,MRCO IN Equity,MRCO IN Equity,INE196A01026,2,400.05,63.145000,
2015-05-01,EMBR3 BZ Equity,EMBR3 BZ Equity,BREMBRACNOR4,2,22.71,2.937300,
2015-05-01,VIVT4 BZ Equity,VIVT4 BZ Equity,BRVIVTACNPR7,2,49.88,2.937300,
2015-05-01,OIBR3 BZ Equity,OIBR3 BZ Equity,BROIBRACNOR1,2,5.78,2.937300,
2015-05-01,CMIG4 BZ Equity,CMIG4 BZ Equity,BRCMIGACNPR3,2,14.9,2.937300,
2015-05-01,CPFE3 BZ Equity,CPFE3 BZ Equity,BRCPFEACNOR0,2,20.97,2.937300,
